pair_id,class_u,class_v,superclass_u,superclass_v,same_superclass,d_perc,d_sem,quadrant
245,baby,mushroom,people,fruit_and_vegetables,False,0.766218,0.428571,Q3
246,baby,oak_tree,people,trees,False,0.683693,0.75,Q4
247,baby,orange,people,fruit_and_vegetables,False,0.80971,0.652174,Q2
248,baby,orchid,people,flowers,False,0.809375,0.478261,Q3
249,baby,otter,people,aquatic_mammals,False,0.581456,0.777778,Q4
250,baby,palm_tree,people,trees,False,0.736947,0.733333,Q2
251,baby,pear,people,fruit_and_vegetables,False,0.687648,0.636364,Q4
252,baby,pickup_truck,people,vehicles_1,False,0.707291,0.636364,Q4
253,baby,pine_tree,people,trees,False,0.65352,0.5,Q1
254,baby,plain,people,large_natural_outdoor_scenes,False,0.730964,0.6,Q3
255,baby,plate,people,food_containers,False,0.698653,0.619048,Q4
256,baby,poppy,people,flowers,False,0.838877,0.478261,Q3
257,baby,porcupine,people,medium_mammals,False,0.693784,0.5,Q1
258,baby,possum,people,medium_mammals,False,0.657361,0.5,Q1
259,baby,rabbit,people,small_mammals,False,0.591333,0.52,Q1
260,baby,raccoon,people,medium_mammals,False,0.726502,0.777778,Q2
261,baby,ray,people,fish,False,0.698945,0.875,Q4
262,baby,road,people,large_man_made_outdoor_things,False,0.774722,0.555556,Q3
263,baby,rocket,people,vehicles_2,False,0.730981,0.6,Q3
264,baby,rose,people,flowers,False,0.777232,0.454545,Q3
265,baby,sea,people,large_natural_outdoor_scenes,False,0.721172,0.692308,Q2
266,baby,seal,people,aquatic_mammals,False,0.591622,0.52,Q1
267,baby,shark,people,fish,False,0.752923,0.52,Q3
268,baby,shrew,people,small_mammals,False,0.662998,0.454545,Q1
269,baby,skunk,people,medium_mammals,False,0.685798,0.428571,Q1
270,baby,skyscraper,people,large_man_made_outdoor_things,False,0.770874,0.578947,Q3
271,baby,snail,people,non_insect_invertebrates,False,0.669766,0.454545,Q1
272,baby,snake,people,reptiles,False,0.777782,0.478261,Q3
273,baby,spider,people,non_insect_invertebrates,False,0.727127,0.454545,Q3
274,baby,squirrel,people,small_mammals,False,0.629865,0.5,Q1
275,baby,streetcar,people,vehicles_2,False,0.739732,0.619048,Q2
276,baby,sunflower,people,flowers,False,0.859711,0.478261,Q3
277,baby,sweet_pepper,people,fruit_and_vegetables,False,0.81003,0.777778,Q2
278,baby,table,people,household_furniture,False,0.676685,0.857143,Q4
279,baby,tank,people,vehicles_2,False,0.687992,0.619048,Q4
280,baby,telephone,people,household_electrical_devices,False,0.796138,0.6,Q3
281,baby,television,people,household_electrical_devices,False,0.671261,0.619048,Q4
282,baby,tiger,people,large_carnivores,False,0.747674,0.368421,Q3
283,baby,tractor,people,vehicles_2,False,0.721236,0.619048,Q2
284,baby,train,people,vehicles_1,False,0.726971,0.6,Q3
285,baby,trout,people,fish,False,0.721762,0.733333,Q2
286,baby,tulip,people,flowers,False,0.815789,0.454545,Q3
287,baby,turtle,people,reptiles,False,0.707574,0.619048,Q4
288,baby,wardrobe,people,household_furniture,False,0.75223,0.6,Q3
289,baby,whale,people,aquatic_mammals,False,0.782029,0.4,Q3
290,baby,willow_tree,people,trees,False,0.663546,0.454545,Q1
