sample_id,class_u,class_v,contrast1,contrast2,quadrant,d_perc,d_sem,learner,episode_id,c1,margin
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,8,0.9,0.2321
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,8,0.9067,0.8597
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,8,0.8933,0.451
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,8,0.3467,1.2178
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,9,0.94,0.2273
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,9,0.92,0.887
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,9,0.9133,0.4677
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,9,0.4,1.2684
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,10,0.94,0.2369
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,10,0.9,0.9131
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,10,0.9467,0.4745
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,10,0.2733,1.1826
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,11,0.84,0.2614
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,11,0.8533,0.9023
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,11,0.84,0.5262
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,11,0.3667,0.9472
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,centroid,12,0.9267,0.2329
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,exemplar_knn_k3,12,0.92,0.8336
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,logreg,12,0.92,0.4729
2,bee,beetle,otter,tulip,Q1,0.398431,0.130435,random,12,0.4,1.2446
