tier,learner,ways,shots,pool_type,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high
mid,exemplar_knn_k3,3,20,large,30,0.3333,0.5984,0.5831,0.614,0.44,0.4183,0.4611,0.7864,0.7617,0.8123
mid,exemplar_knn_k3,3,20,medium,30,0.3333,0.5984,0.5831,0.614,0.505,0.485,0.5272,0.7864,0.7617,0.8123
mid,exemplar_knn_k3,3,20,oov_25,30,0.3333,0.5984,0.5831,0.614,0.4267,0.4089,0.4461,0.7864,0.7617,0.8123
mid,exemplar_knn_k3,3,20,oov_50,30,0.3333,0.5984,0.5831,0.614,0.3883,0.37,0.4067,0.7864,0.7617,0.8123
mid,exemplar_knn_k3,3,20,small,30,0.3333,0.5984,0.5831,0.614,0.5772,0.55,0.6039,0.7864,0.7617,0.8123
mid,exemplar_knn_k3,3,3,hard,30,0.3333,0.6475,0.63,0.666,0.2972,0.2633,0.3311,0.4735,0.4431,0.5028
mid,exemplar_knn_k3,3,3,large,30,0.3333,0.6475,0.63,0.666,0.4406,0.405,0.4739,0.4735,0.4431,0.5028
mid,exemplar_knn_k3,3,3,medium,30,0.3333,0.6475,0.63,0.666,0.5344,0.4972,0.5689,0.4735,0.4431,0.5028
mid,exemplar_knn_k3,3,3,oov_25,30,0.3333,0.6475,0.63,0.666,0.5011,0.4683,0.5306,0.4735,0.4431,0.5028
mid,exemplar_knn_k3,3,3,oov_50,30,0.3333,0.6475,0.63,0.666,0.4578,0.425,0.4889,0.4735,0.4431,0.5028
mid,exemplar_knn_k3,3,3,small,30,0.3333,0.6475,0.63,0.666,0.6261,0.5972,0.6522,0.4735,0.4431,0.5028
mid,exemplar_knn_k3,3,5,hard,30,0.3333,0.6502,0.6335,0.6664,0.3406,0.3078,0.3728,0.627,0.6012,0.6538
mid,exemplar_knn_k3,3,5,large,30,0.3333,0.6502,0.6335,0.6664,0.4839,0.4478,0.5189,0.627,0.6012,0.6538
mid,exemplar_knn_k3,3,5,medium,30,0.3333,0.6502,0.6335,0.6664,0.56,0.5311,0.5895,0.627,0.6012,0.6538
